"caseid"	"degree"	"satfin"
365	"High School"	"More Or Less"
366	"Lt High School"	"Satisfied"
367	"Lt High School"	"More Or Less"
368	"Lt High School"	"More Or Less"
369	"Lt High School"	"More Or Less"
370	"Lt High School"	"Satisfied"
371	"High School"	"More Or Less"
372	"High School"	"More Or Less"
373	"Lt High School"	"Not At All Sat"
374	"High School"	"Not At All Sat"
375	"Lt High School"	"More Or Less"
376	"Lt High School"	"More Or Less"
377	"High School"	"More Or Less"
379	"High School"	"More Or Less"
380	"Lt High School"	"Not At All Sat"
381	"Lt High School"	"Not At All Sat"
382	"Lt High School"	"More Or Less"
383	"Graduate"	"More Or Less"
384	"High School"	"More Or Less"
385	"High School"	"Satisfied"
386	"Lt High School"	"More Or Less"
388	"High School"	"Satisfied"
389	"Lt High School"	"Satisfied"
390	"High School"	"Satisfied"
391	"High School"	"More Or Less"
392	"Lt High School"	"Not At All Sat"
393	"Lt High School"	"More Or Less"
394	"High School"	"Not At All Sat"
395	"Bachelor"	"Not At All Sat"
396	"Lt High School"	"More Or Less"
397	"Lt High School"	"Satisfied"
398	"High School"	"More Or Less"
400	"Lt High School"	"Satisfied"
401	"Lt High School"	"More Or Less"
402	"Lt High School"	"Satisfied"
404	"Lt High School"	"More Or Less"
405	"Lt High School"	"Not At All Sat"
406	"High School"	"More Or Less"
407	"High School"	"More Or Less"
408	"Lt High School"	"More Or Less"
409	"Lt High School"	"More Or Less"
410	"Lt High School"	"More Or Less"
411	"Graduate"	"Satisfied"
412	"Lt High School"	"More Or Less"
413	"Lt High School"	"More Or Less"
414	"Lt High School"	"Satisfied"
415	"High School"	"More Or Less"
416	"High School"	"More Or Less"
417	"Lt High School"	"Satisfied"
418	"Bachelor"	"More Or Less"
420	"High School"	"Satisfied"
421	"Lt High School"	"Satisfied"
422	"High School"	"Satisfied"
423	"High School"	"Satisfied"
424	"Lt High School"	"More Or Less"
425	"Lt High School"	"More Or Less"
426	"High School"	"Not At All Sat"
427	"High School"	"More Or Less"
428	"Lt High School"	"Not At All Sat"
429	"High School"	"More Or Less"
430	"High School"	"Not At All Sat"
431	"Lt High School"	"More Or Less"
432	"High School"	"More Or Less"
433	"High School"	"Not At All Sat"
435	"Bachelor"	"More Or Less"
436	"High School"	"Satisfied"
438	"High School"	"More Or Less"
439	"High School"	"More Or Less"
440	"Lt High School"	"Satisfied"
441	"High School"	"Satisfied"
442	"Lt High School"	"Satisfied"
443	"High School"	"Satisfied"
444	"High School"	"Satisfied"
445	"Lt High School"	"Not At All Sat"
446	"Lt High School"	"More Or Less"
447	"High School"	"More Or Less"
448	"High School"	"More Or Less"
449	"High School"	"More Or Less"
450	"Junior College"	"More Or Less"
451	"High School"	"Not At All Sat"
452	"High School"	"Not At All Sat"
453	"High School"	"More Or Less"
454	"High School"	"More Or Less"
455	"High School"	"Not At All Sat"
456	"Lt High School"	"More Or Less"
457	"High School"	"Not At All Sat"
458	"Lt High School"	"More Or Less"
459	"High School"	"More Or Less"
460	"High School"	"Not At All Sat"
461	"Lt High School"	"More Or Less"
462	"High School"	"Not At All Sat"
463	"Lt High School"	"Not At All Sat"
464	"Lt High School"	"More Or Less"
466	"Lt High School"	"Satisfied"
467	"Lt High School"	"Satisfied"
468	"Lt High School"	"More Or Less"
469	"High School"	"More Or Less"
470	"High School"	"More Or Less"
471	"High School"	"Not At All Sat"
472	"Lt High School"	"Satisfied"
473	"High School"	"Satisfied"
474	"Lt High School"	"Satisfied"
475	"High School"	"Satisfied"
476	"Lt High School"	"More Or Less"
477	"Lt High School"	"More Or Less"
479	"High School"	"Satisfied"
480	"High School"	"Satisfied"
481	"High School"	"More Or Less"
482	"High School"	"Satisfied"
483	"Lt High School"	"Satisfied"
484	"Graduate"	"More Or Less"
485	"Bachelor"	"More Or Less"
486	"High School"	"More Or Less"
487	"High School"	"More Or Less"
488	"High School"	"Satisfied"
489	"Lt High School"	"More Or Less"
490	"High School"	"More Or Less"
491	"Bachelor"	"Satisfied"
492	"Lt High School"	"Satisfied"
493	"High School"	"Satisfied"
494	"High School"	"Not At All Sat"
496	"High School"	"More Or Less"
497	"Lt High School"	"More Or Less"
498	"High School"	"Not At All Sat"
499	"Lt High School"	"More Or Less"
500	"Lt High School"	"Not At All Sat"
501	"Lt High School"	"Satisfied"
502	"Lt High School"	"More Or Less"
503	"Bachelor"	"Satisfied"
504	"Bachelor"	"Satisfied"
505	"High School"	"Not At All Sat"
506	"High School"	"Not At All Sat"
507	"High School"	"Satisfied"
508	"High School"	"Not At All Sat"
509	"High School"	"Satisfied"
510	"High School"	"Not At All Sat"
511	"High School"	"More Or Less"
512	"High School"	"More Or Less"
513	"High School"	"More Or Less"
514	"High School"	"More Or Less"
515	"High School"	"More Or Less"
516	"High School"	"More Or Less"
517	"Lt High School"	"More Or Less"
518	"Bachelor"	"More Or Less"
519	"High School"	"Satisfied"
520	"High School"	"Satisfied"
521	"High School"	"More Or Less"
522	"Bachelor"	"More Or Less"
523	"High School"	"More Or Less"
524	"Lt High School"	"More Or Less"
525	"Lt High School"	"Not At All Sat"
526	"High School"	"Not At All Sat"
527	"Lt High School"	"More Or Less"
528	"Lt High School"	"Satisfied"
529	"Lt High School"	"Satisfied"
530	"Lt High School"	"Satisfied"
531	"High School"	"More Or Less"
532	"High School"	"Satisfied"
533	"High School"	"Not At All Sat"
534	"High School"	"Satisfied"
535	"High School"	"Not At All Sat"
536	"High School"	"More Or Less"
537	"Bachelor"	"More Or Less"
538	"High School"	"Not At All Sat"
539	"High School"	"More Or Less"
540	"High School"	"More Or Less"
541	"High School"	"Not At All Sat"
542	"High School"	"Not At All Sat"
543	"Lt High School"	"Not At All Sat"
544	"High School"	"Not At All Sat"
545	"High School"	"More Or Less"
546	"High School"	"More Or Less"
547	"High School"	"Satisfied"
548	"Lt High School"	"More Or Less"
549	"High School"	"More Or Less"
550	"High School"	"Not At All Sat"
551	"Lt High School"	"More Or Less"
552	"High School"	"More Or Less"
554	"High School"	"More Or Less"
555	"High School"	"Satisfied"
556	"High School"	"More Or Less"
557	"Lt High School"	"Satisfied"
558	"High School"	"More Or Less"
560	"High School"	"Not At All Sat"
561	"Lt High School"	"Satisfied"
562	"High School"	"Satisfied"
563	"High School"	"More Or Less"
564	"Lt High School"	"More Or Less"
565	"High School"	"Not At All Sat"
567	"Lt High School"	"Not At All Sat"
568	"Lt High School"	"More Or Less"
569	"Lt High School"	"Satisfied"
570	"Lt High School"	"More Or Less"
571	"High School"	"Not At All Sat"
572	"High School"	"More Or Less"
573	"Lt High School"	"More Or Less"
575	"Bachelor"	"Not At All Sat"
576	"Lt High School"	"Satisfied"
577	"Lt High School"	"Satisfied"
578	"High School"	"Satisfied"
579	"Lt High School"	"More Or Less"
580	"High School"	"Satisfied"
581	"Lt High School"	"More Or Less"
582	"High School"	"Not At All Sat"
583	"Lt High School"	"More Or Less"
584	"High School"	"More Or Less"
585	"High School"	"Satisfied"
586	"Bachelor"	"More Or Less"
587	"High School"	"More Or Less"
588	"High School"	"More Or Less"
589	"Lt High School"	"More Or Less"
590	"High School"	"Satisfied"
591	"High School"	"More Or Less"
592	"High School"	"Satisfied"
593	"High School"	"More Or Less"
594	"Bachelor"	"More Or Less"
595	"Lt High School"	"Not At All Sat"
596	"High School"	"More Or Less"
597	"High School"	"Not At All Sat"
598	"Lt High School"	"More Or Less"
599	"High School"	"Satisfied"
600	"High School"	"Not At All Sat"
601	"High School"	"Satisfied"
602	"High School"	"More Or Less"
603	"Lt High School"	"More Or Less"
604	"Lt High School"	"Not At All Sat"
605	"High School"	"More Or Less"
606	"Lt High School"	"Satisfied"
607	"Lt High School"	"More Or Less"
609	"Lt High School"	"Satisfied"
610	"Lt High School"	"More Or Less"
611	"Lt High School"	"Not At All Sat"
612	"Lt High School"	"Not At All Sat"
613	"High School"	"Not At All Sat"
614	"Lt High School"	"Satisfied"
615	"Lt High School"	"More Or Less"
616	"Lt High School"	"Not At All Sat"
617	"High School"	"Satisfied"
618	"Lt High School"	"More Or Less"
619	"Lt High School"	"Satisfied"
620	"High School"	"Satisfied"
621	"Lt High School"	"Satisfied"
622	"Lt High School"	"Not At All Sat"
623	"Bachelor"	"More Or Less"
624	"High School"	"Satisfied"
