"caseid"	"degree"	"satfin"
25172	"High School"	"More Or Less"
25173	"Junior College"	"Not At All Sat"
25174	"Bachelor"	"More Or Less"
25175	"Bachelor"	"Not At All Sat"
25176	"Bachelor"	"More Or Less"
25177	"High School"	"More Or Less"
25178	"Bachelor"	"Satisfied"
25179	"High School"	"Satisfied"
25180	"High School"	"More Or Less"
25181	"Lt High School"	"Satisfied"
25182	"High School"	"Satisfied"
25183	"Lt High School"	"More Or Less"
25184	"Graduate"	"Satisfied"
25185	"High School"	"Satisfied"
25186	"Lt High School"	"More Or Less"
25187	"High School"	"More Or Less"
25188	"High School"	"Satisfied"
25189	"Graduate"	"Satisfied"
25190	"Bachelor"	"Satisfied"
25191	"High School"	"More Or Less"
25192	"High School"	"More Or Less"
25193	"Lt High School"	"Satisfied"
25194	"High School"	"Not At All Sat"
25195	"High School"	"More Or Less"
25196	"Graduate"	"Satisfied"
25197	"Graduate"	"Satisfied"
25198	"High School"	"Satisfied"
25199	"Bachelor"	"Satisfied"
25200	"Graduate"	"Satisfied"
25201	"High School"	"More Or Less"
25202	"Bachelor"	"Satisfied"
25203	"Lt High School"	"Not At All Sat"
25204	"Lt High School"	"Not At All Sat"
25205	"High School"	"Not At All Sat"
25206	"High School"	"More Or Less"
25207	"High School"	"More Or Less"
25208	"High School"	"More Or Less"
25209	"Lt High School"	"More Or Less"
25210	"Lt High School"	"Not At All Sat"
25211	"Lt High School"	"More Or Less"
25212	"High School"	"Satisfied"
25213	"Graduate"	"More Or Less"
25214	"High School"	"Satisfied"
25215	"High School"	"Not At All Sat"
25216	"High School"	"Not At All Sat"
25217	"Bachelor"	"Satisfied"
25218	"Graduate"	"More Or Less"
25219	"Bachelor"	"Satisfied"
25220	"High School"	"More Or Less"
25221	"Bachelor"	"More Or Less"
25222	"Bachelor"	"More Or Less"
25223	"Bachelor"	"Not At All Sat"
25224	"High School"	"Not At All Sat"
25225	"High School"	"Not At All Sat"
25226	"High School"	"More Or Less"
25227	"High School"	"Not At All Sat"
25228	"Bachelor"	"Satisfied"
25230	"Lt High School"	"Not At All Sat"
25231	"Lt High School"	"Not At All Sat"
25232	"Graduate"	"Satisfied"
25233	"High School"	"Satisfied"
25234	"High School"	"Satisfied"
25235	"High School"	"Not At All Sat"
25236	"High School"	"Not At All Sat"
25237	"Bachelor"	"Not At All Sat"
25238	"Junior College"	"More Or Less"
25239	"High School"	"More Or Less"
25240	"Junior College"	"More Or Less"
25241	"Lt High School"	"Not At All Sat"
25242	"High School"	"Satisfied"
25243	"Lt High School"	"Satisfied"
25244	"Bachelor"	"Satisfied"
25245	"High School"	"More Or Less"
25246	"High School"	"More Or Less"
25247	"Lt High School"	"Not At All Sat"
25248	"Lt High School"	"Satisfied"
25250	"High School"	"More Or Less"
25251	"Lt High School"	"Satisfied"
25252	"Lt High School"	"Not At All Sat"
25253	"High School"	"Not At All Sat"
25254	"Lt High School"	"Not At All Sat"
25255	"High School"	"More Or Less"
25256	"Graduate"	"Satisfied"
25257	"High School"	"Satisfied"
25258	"Lt High School"	"More Or Less"
25259	"High School"	"More Or Less"
25260	"High School"	"More Or Less"
25261	"Junior College"	"More Or Less"
25262	"Junior College"	"More Or Less"
25263	"Lt High School"	"Satisfied"
25264	"Junior College"	"Not At All Sat"
25265	"Lt High School"	"More Or Less"
25266	"High School"	"More Or Less"
25267	"High School"	"More Or Less"
25268	"Bachelor"	"Satisfied"
25269	"Bachelor"	"More Or Less"
25270	"Bachelor"	"Satisfied"
25271	"High School"	"Satisfied"
25272	"High School"	"More Or Less"
25273	"Bachelor"	"More Or Less"
25274	"Graduate"	"Satisfied"
25275	"High School"	"More Or Less"
25276	"High School"	"More Or Less"
25277	"High School"	"Not At All Sat"
25278	"High School"	"More Or Less"
25279	"High School"	"Satisfied"
25280	"High School"	"More Or Less"
25281	"High School"	"Satisfied"
25282	"High School"	"More Or Less"
25283	"Junior College"	"Satisfied"
25284	"High School"	"Satisfied"
25285	"High School"	"Not At All Sat"
25286	"High School"	"Satisfied"
25287	"Bachelor"	"Satisfied"
25288	"High School"	"More Or Less"
25289	"High School"	"Satisfied"
25290	"High School"	"Satisfied"
25291	"High School"	"More Or Less"
25292	"Bachelor"	"Not At All Sat"
25293	"Lt High School"	"More Or Less"
25294	"High School"	"Not At All Sat"
25295	"High School"	"More Or Less"
25296	"High School"	"Satisfied"
25297	"High School"	"Not At All Sat"
25298	"High School"	"More Or Less"
25300	"Graduate"	"More Or Less"
25301	"Graduate"	"More Or Less"
25302	"Bachelor"	"Satisfied"
25303	"High School"	"Not At All Sat"
25304	"High School"	"More Or Less"
25305	"High School"	"More Or Less"
25306	"High School"	"More Or Less"
25307	"High School"	"Not At All Sat"
25308	"Lt High School"	"More Or Less"
25309	"High School"	"Not At All Sat"
25310	"Lt High School"	"Not At All Sat"
25311	"Lt High School"	"Not At All Sat"
25312	"Bachelor"	"More Or Less"
25313	"High School"	"Satisfied"
25314	"Bachelor"	"Not At All Sat"
25315	"Bachelor"	"More Or Less"
25316	"High School"	"More Or Less"
25317	"Lt High School"	"More Or Less"
25318	"Graduate"	"More Or Less"
25319	"Bachelor"	"More Or Less"
25320	"Graduate"	"More Or Less"
25321	"Bachelor"	"Satisfied"
25322	"High School"	"More Or Less"
25323	"Bachelor"	"Satisfied"
25324	"High School"	"More Or Less"
25325	"Junior College"	"Satisfied"
25326	"High School"	"Not At All Sat"
25327	"High School"	"More Or Less"
25328	"Junior College"	"More Or Less"
25329	"High School"	"More Or Less"
25330	"High School"	"More Or Less"
25331	"High School"	"More Or Less"
25332	"Bachelor"	"More Or Less"
25333	"High School"	"Not At All Sat"
25334	"High School"	"Not At All Sat"
25335	"High School"	"Not At All Sat"
25336	"Lt High School"	"More Or Less"
25337	"Lt High School"	"More Or Less"
25338	"High School"	"Not At All Sat"
25339	"Bachelor"	"More Or Less"
25340	"High School"	"More Or Less"
25341	"High School"	"More Or Less"
25342	"High School"	"More Or Less"
25343	"Lt High School"	"Not At All Sat"
25344	"Bachelor"	"Satisfied"
25345	"Lt High School"	"Satisfied"
25346	"Lt High School"	"More Or Less"
25347	"Lt High School"	"Not At All Sat"
25348	"Lt High School"	"More Or Less"
25349	"Lt High School"	"Satisfied"
25350	"High School"	"Satisfied"
25351	"Bachelor"	"Satisfied"
25352	"Graduate"	"More Or Less"
25353	"Junior College"	"Satisfied"
25354	"Graduate"	"Satisfied"
25355	"High School"	"Satisfied"
25356	"Junior College"	"More Or Less"
25357	"High School"	"More Or Less"
25358	"Lt High School"	"Satisfied"
25359	"High School"	"Not At All Sat"
25360	"High School"	"Not At All Sat"
25361	"Bachelor"	"Not At All Sat"
25362	"Lt High School"	"More Or Less"
25363	"High School"	"More Or Less"
25364	"High School"	"More Or Less"
25365	"High School"	"More Or Less"
25366	"Bachelor"	"More Or Less"
25367	"High School"	"More Or Less"
25368	"High School"	"More Or Less"
25369	"High School"	"Satisfied"
25370	"High School"	"More Or Less"
25371	"High School"	"More Or Less"
25372	"High School"	"Satisfied"
25373	"High School"	"Satisfied"
25374	"Bachelor"	"Not At All Sat"
25375	"Lt High School"	"More Or Less"
25376	"High School"	"Satisfied"
25377	"High School"	"More Or Less"
25378	"High School"	"More Or Less"
25379	"High School"	"More Or Less"
25380	"Junior College"	"Not At All Sat"
25381	"High School"	"Not At All Sat"
25382	"High School"	"Not At All Sat"
25383	"Lt High School"	"More Or Less"
25384	"High School"	"More Or Less"
25385	"High School"	"Satisfied"
25386	"Junior College"	"Satisfied"
25387	"Bachelor"	"More Or Less"
25388	"High School"	"Satisfied"
25389	"Bachelor"	"Not At All Sat"
25390	"High School"	"Satisfied"
25391	"High School"	"Satisfied"
25392	"Graduate"	"More Or Less"
25393	"High School"	"Satisfied"
25395	"Graduate"	"Satisfied"
25396	"High School"	"More Or Less"
25397	"Bachelor"	"More Or Less"
25398	"High School"	"Satisfied"
25399	"Bachelor"	"More Or Less"
25400	"High School"	"Satisfied"
25401	"Bachelor"	"Satisfied"
25402	"High School"	"Satisfied"
25403	"High School"	"More Or Less"
25404	"Bachelor"	"Satisfied"
25405	"Graduate"	"More Or Less"
25406	"Graduate"	"Satisfied"
25407	"Graduate"	"More Or Less"
25408	"High School"	"More Or Less"
25409	"Bachelor"	"More Or Less"
25410	"High School"	"Satisfied"
25411	"Lt High School"	"More Or Less"
25412	"Lt High School"	"Not At All Sat"
25413	"Graduate"	"More Or Less"
25414	"High School"	"Not At All Sat"
25415	"High School"	"More Or Less"
25416	"Junior College"	"Not At All Sat"
25417	"High School"	"More Or Less"
25418	"High School"	"Satisfied"
25419	"High School"	"Not At All Sat"
25420	"High School"	"Not At All Sat"
25421	"High School"	"More Or Less"
25422	"High School"	"Not At All Sat"
25423	"High School"	"More Or Less"
25424	"Junior College"	"Satisfied"
25425	"Bachelor"	"Not At All Sat"
25426	"High School"	"Satisfied"
25427	"Graduate"	"Satisfied"
25428	"Graduate"	"Satisfied"
25429	"High School"	"More Or Less"
25430	"High School"	"More Or Less"
25431	"High School"	"More Or Less"
25432	"High School"	"Satisfied"
25433	"High School"	"Not At All Sat"
25434	"High School"	"More Or Less"
25435	"High School"	"Satisfied"
25436	"High School"	"Not At All Sat"
25437	"High School"	"More Or Less"
25438	"High School"	"Satisfied"
25439	"High School"	"Satisfied"
25440	"High School"	"More Or Less"
25441	"Lt High School"	"Not At All Sat"
25442	"High School"	"More Or Less"
25443	"High School"	"Satisfied"
25444	"High School"	"Not At All Sat"
25445	"Junior College"	"More Or Less"
25446	"High School"	"Satisfied"
25447	"High School"	"Satisfied"
25448	"Bachelor"	"Satisfied"
25449	"High School"	"More Or Less"
25450	"High School"	"Satisfied"
25451	"High School"	"Satisfied"
25452	"High School"	"Satisfied"
25453	"High School"	"Satisfied"
25454	"High School"	"Not At All Sat"
25455	"High School"	"Satisfied"
25456	"High School"	"More Or Less"
25457	"High School"	"More Or Less"
25458	"Lt High School"	"More Or Less"
25459	"Junior College"	"More Or Less"
25460	"Lt High School"	"Satisfied"
25461	"Lt High School"	"Not At All Sat"
25462	"Junior College"	"More Or Less"
25463	"High School"	"Satisfied"
25465	"Bachelor"	"Satisfied"
25466	"High School"	"Satisfied"
25467	"High School"	"More Or Less"
25468	"Bachelor"	"Not At All Sat"
25469	"Lt High School"	"More Or Less"
25470	"Lt High School"	"Not At All Sat"
25471	"High School"	"Not At All Sat"
25472	"High School"	"Not At All Sat"
25473	"Bachelor"	"Not At All Sat"
25474	"High School"	"Satisfied"
25475	"High School"	"Satisfied"
25476	"High School"	"Satisfied"
25477	"Junior College"	"More Or Less"
25478	"High School"	"Satisfied"
25479	"Bachelor"	"Satisfied"
25480	"High School"	"Not At All Sat"
25481	"High School"	"Satisfied"
25482	"Lt High School"	"Satisfied"
25483	"Lt High School"	"Satisfied"
25484	"High School"	"Satisfied"
25485	"Lt High School"	"Satisfied"
25486	"High School"	"Satisfied"
25487	"Bachelor"	"Satisfied"
25488	"High School"	"Satisfied"
25489	"High School"	"More Or Less"
25490	"High School"	"Satisfied"
25491	"High School"	"More Or Less"
25492	"High School"	"More Or Less"
25493	"High School"	"Satisfied"
25494	"High School"	"Not At All Sat"
25495	"High School"	"More Or Less"
25496	"Junior College"	"Not At All Sat"
25497	"Graduate"	"Satisfied"
25498	"High School"	"More Or Less"
25499	"Bachelor"	"More Or Less"
25500	"High School"	"Not At All Sat"
25501	"High School"	"Satisfied"
25502	"High School"	"Not At All Sat"
25503	"High School"	"More Or Less"
25504	"High School"	"More Or Less"
25505	"High School"	"Satisfied"
25506	"Graduate"	"Satisfied"
25507	"High School"	"More Or Less"
25508	"Bachelor"	"More Or Less"
25509	"Bachelor"	"Satisfied"
25510	"Bachelor"	"More Or Less"
25511	"Bachelor"	"Not At All Sat"
25512	"Bachelor"	"Satisfied"
25513	"High School"	"Satisfied"
25514	"High School"	"More Or Less"
25515	"High School"	"More Or Less"
25516	"High School"	"Not At All Sat"
25517	"Bachelor"	"Satisfied"
25518	"High School"	"More Or Less"
25519	"High School"	"More Or Less"
25520	"High School"	"More Or Less"
25521	"High School"	"Not At All Sat"
25522	"High School"	"More Or Less"
25523	"Lt High School"	"Not At All Sat"
25524	"Lt High School"	"Not At All Sat"
25525	"High School"	"Not At All Sat"
25526	"Lt High School"	"Not At All Sat"
25527	"Lt High School"	"Not At All Sat"
25528	"High School"	"More Or Less"
25529	"Lt High School"	"More Or Less"
25530	"Lt High School"	"Not At All Sat"
25531	"High School"	"More Or Less"
25532	"Lt High School"	"Not At All Sat"
25533	"Lt High School"	"Not At All Sat"
25534	"High School"	"More Or Less"
25536	"High School"	"More Or Less"
25537	"Junior College"	"Not At All Sat"
25538	"High School"	"Satisfied"
25539	"Bachelor"	"Satisfied"
25540	"Graduate"	"Not At All Sat"
25541	"Lt High School"	"More Or Less"
25542	"High School"	"Not At All Sat"
25543	"High School"	"More Or Less"
25544	"High School"	"More Or Less"
25545	"High School"	"More Or Less"
25546	"Bachelor"	"More Or Less"
25547	"Junior College"	"Not At All Sat"
25548	"Bachelor"	"Not At All Sat"
25549	"Bachelor"	"Not At All Sat"
25550	"Lt High School"	"Satisfied"
25551	"High School"	"More Or Less"
25553	"Lt High School"	"More Or Less"
25554	"Lt High School"	"More Or Less"
25555	"High School"	"Not At All Sat"
25556	"High School"	"Not At All Sat"
25557	"Graduate"	"Satisfied"
25558	"High School"	"More Or Less"
25559	"Junior College"	"More Or Less"
25560	"High School"	"More Or Less"
25561	"Bachelor"	"More Or Less"
25562	"High School"	"More Or Less"
25563	"Lt High School"	"Satisfied"
25564	"High School"	"More Or Less"
25565	"Lt High School"	"Not At All Sat"
25566	"High School"	"More Or Less"
25567	"High School"	"Not At All Sat"
25568	"Bachelor"	"Satisfied"
25569	"Bachelor"	"More Or Less"
25570	"High School"	"Satisfied"
25571	"Junior College"	"Satisfied"
25572	"High School"	"Satisfied"
25573	"Bachelor"	"More Or Less"
25574	"High School"	"Not At All Sat"
25575	"High School"	"More Or Less"
25576	"Lt High School"	"Not At All Sat"
25577	"Junior College"	"Not At All Sat"
25578	"High School"	"More Or Less"
25579	"Graduate"	"More Or Less"
25580	"High School"	"More Or Less"
25581	"Lt High School"	"Not At All Sat"
25582	"High School"	"Satisfied"
25583	"High School"	"Not At All Sat"
25584	"High School"	"Not At All Sat"
25585	"High School"	"More Or Less"
25586	"Graduate"	"More Or Less"
25587	"High School"	"More Or Less"
25588	"High School"	"Not At All Sat"
25589	"High School"	"More Or Less"
25590	"Lt High School"	"More Or Less"
25591	"High School"	"More Or Less"
25592	"Graduate"	"More Or Less"
25593	"High School"	"Satisfied"
25594	"High School"	"Not At All Sat"
25595	"High School"	"Satisfied"
25596	"Lt High School"	"Satisfied"
25597	"High School"	"Not At All Sat"
25598	"High School"	"Not At All Sat"
25599	"Lt High School"	"More Or Less"
25600	"Lt High School"	"More Or Less"
25601	"High School"	"Satisfied"
25602	"Lt High School"	"Satisfied"
25603	"Lt High School"	"More Or Less"
25604	"High School"	"Not At All Sat"
25605	"High School"	"More Or Less"
25606	"High School"	"Satisfied"
25607	"High School"	"Not At All Sat"
25608	"High School"	"More Or Less"
25609	"High School"	"More Or Less"
25610	"High School"	"Not At All Sat"
25611	"High School"	"Not At All Sat"
25612	"Bachelor"	"More Or Less"
25613	"Bachelor"	"More Or Less"
25614	"High School"	"Satisfied"
25615	"Graduate"	"Not At All Sat"
25616	"High School"	"Satisfied"
25617	"Lt High School"	"More Or Less"
25618	"High School"	"Not At All Sat"
25619	"Bachelor"	"More Or Less"
25620	"High School"	"More Or Less"
25621	"Lt High School"	"More Or Less"
25623	"Lt High School"	"More Or Less"
25624	"Lt High School"	"Satisfied"
25625	"Lt High School"	"Not At All Sat"
25626	"High School"	"More Or Less"
25627	"High School"	"More Or Less"
25628	"High School"	"Not At All Sat"
25629	"High School"	"Satisfied"
25630	"High School"	"More Or Less"
25631	"High School"	"Not At All Sat"
25632	"Lt High School"	"More Or Less"
25633	"Bachelor"	"Satisfied"
25634	"High School"	"More Or Less"
25635	"Graduate"	"More Or Less"
25636	"Lt High School"	"Satisfied"
25637	"High School"	"More Or Less"
25638	"High School"	"More Or Less"
25639	"High School"	"Not At All Sat"
25640	"Lt High School"	"More Or Less"
25641	"Lt High School"	"More Or Less"
25642	"Lt High School"	"Not At All Sat"
25643	"High School"	"More Or Less"
25644	"Bachelor"	"More Or Less"
25645	"High School"	"Not At All Sat"
25646	"Lt High School"	"Not At All Sat"
25647	"High School"	"More Or Less"
25648	"Lt High School"	"Satisfied"
25649	"Lt High School"	"More Or Less"
25650	"Junior College"	"Satisfied"
25651	"High School"	"Satisfied"
25652	"High School"	"More Or Less"
25653	"Bachelor"	"Satisfied"
25654	"High School"	"Satisfied"
25655	"High School"	"Not At All Sat"
25656	"High School"	"More Or Less"
25657	"Lt High School"	"More Or Less"
25658	"High School"	"Satisfied"
25659	"High School"	"Not At All Sat"
25660	"Lt High School"	"More Or Less"
25661	"Lt High School"	"More Or Less"
25662	"High School"	"Not At All Sat"
25663	"High School"	"More Or Less"
25664	"Junior College"	"Not At All Sat"
25665	"High School"	"More Or Less"
25666	"Lt High School"	"More Or Less"
25667	"High School"	"Satisfied"
25668	"High School"	"Not At All Sat"
25669	"Lt High School"	"Not At All Sat"
25671	"Lt High School"	"More Or Less"
25672	"Bachelor"	"More Or Less"
25673	"Lt High School"	"More Or Less"
25674	"Bachelor"	"More Or Less"
25675	"High School"	"Satisfied"
25676	"High School"	"Satisfied"
25677	"High School"	"More Or Less"
25678	"High School"	"Satisfied"
25679	"High School"	"Not At All Sat"
25680	"High School"	"Not At All Sat"
25681	"High School"	"Satisfied"
25682	"Bachelor"	"More Or Less"
25683	"Bachelor"	"More Or Less"
25684	"High School"	"More Or Less"
25685	"High School"	"More Or Less"
25686	"High School"	"Satisfied"
25687	"High School"	"Not At All Sat"
25688	"Junior College"	"More Or Less"
25689	"Graduate"	"More Or Less"
25690	"Lt High School"	"Satisfied"
25691	"Junior College"	"More Or Less"
25692	"High School"	"Satisfied"
25693	"Graduate"	"Satisfied"
25694	"Junior College"	"Satisfied"
25695	"Bachelor"	"More Or Less"
25696	"Junior College"	"Satisfied"
25697	"Bachelor"	"Satisfied"
25698	"Bachelor"	"More Or Less"
25699	"High School"	"Not At All Sat"
25700	"Bachelor"	"More Or Less"
25701	"High School"	"Not At All Sat"
25702	"High School"	"Satisfied"
25703	"High School"	"More Or Less"
25704	"High School"	"Satisfied"
25705	"High School"	"Not At All Sat"
25706	"Lt High School"	"Satisfied"
25707	"High School"	"More Or Less"
25708	"High School"	"Not At All Sat"
25709	"High School"	"More Or Less"
25710	"Lt High School"	"Satisfied"
25711	"Lt High School"	"Not At All Sat"
25712	"Junior College"	"More Or Less"
25713	"High School"	"Satisfied"
25714	"Bachelor"	"More Or Less"
25715	"High School"	"Satisfied"
25716	"High School"	"More Or Less"
25717	"High School"	"Not At All Sat"
25718	"Lt High School"	"Satisfied"
25719	"High School"	"More Or Less"
25720	"High School"	"Not At All Sat"
25721	"High School"	"Not At All Sat"
25722	"High School"	"Satisfied"
25723	"High School"	"Satisfied"
25724	"Bachelor"	"Satisfied"
25725	"Bachelor"	"More Or Less"
25726	"High School"	"More Or Less"
25727	"Bachelor"	"More Or Less"
25728	"High School"	"Not At All Sat"
25729	"High School"	"Satisfied"
25730	"Bachelor"	"More Or Less"
25731	"High School"	"Satisfied"
25732	"Lt High School"	"Not At All Sat"
25733	"Graduate"	"Satisfied"
25734	"High School"	"Not At All Sat"
25735	"High School"	"More Or Less"
25736	"Lt High School"	"Not At All Sat"
25737	"High School"	"Not At All Sat"
25738	"High School"	"More Or Less"
25739	"Graduate"	"Satisfied"
25740	"High School"	"More Or Less"
25741	"Bachelor"	"Not At All Sat"
25742	"High School"	"More Or Less"
25743	"Bachelor"	"More Or Less"
25744	"High School"	"Satisfied"
25745	"Bachelor"	"More Or Less"
25746	"High School"	"Satisfied"
25747	"Lt High School"	"Satisfied"
25748	"High School"	"More Or Less"
25749	"Junior College"	"More Or Less"
25751	"High School"	"Not At All Sat"
25752	"High School"	"More Or Less"
25753	"Junior College"	"Satisfied"
25754	"Lt High School"	"Not At All Sat"
25755	"High School"	"More Or Less"
25756	"High School"	"More Or Less"
25757	"Lt High School"	"Satisfied"
25758	"High School"	"Not At All Sat"
25759	"High School"	"Not At All Sat"
25760	"High School"	"More Or Less"
25761	"High School"	"Not At All Sat"
25762	"Bachelor"	"More Or Less"
25763	"Junior College"	"Not At All Sat"
25764	"High School"	"More Or Less"
25765	"High School"	"Satisfied"
25766	"High School"	"Satisfied"
25767	"High School"	"Satisfied"
25768	"Bachelor"	"More Or Less"
25769	"High School"	"Satisfied"
25770	"High School"	"Satisfied"
25771	"Lt High School"	"Not At All Sat"
25772	"High School"	"More Or Less"
25773	"High School"	"Satisfied"
25774	"High School"	"Satisfied"
25775	"Bachelor"	"Satisfied"
25776	"High School"	"Satisfied"
25777	"High School"	"More Or Less"
25778	"High School"	"More Or Less"
25779	"High School"	"Not At All Sat"
25780	"High School"	"More Or Less"
25781	"High School"	"Satisfied"
25782	"High School"	"Satisfied"
25783	"Bachelor"	"Satisfied"
25784	"High School"	"Satisfied"
25785	"Bachelor"	"Satisfied"
25786	"High School"	"Satisfied"
25787	"High School"	"Satisfied"
25788	"Bachelor"	"Satisfied"
25789	"High School"	"More Or Less"
25790	"Junior College"	"More Or Less"
25791	"Graduate"	"Satisfied"
25792	"High School"	"Not At All Sat"
25793	"Bachelor"	"Not At All Sat"
25794	"High School"	"Satisfied"
25795	"Bachelor"	"Satisfied"
25796	"High School"	"More Or Less"
25797	"High School"	"Satisfied"
25798	"High School"	"More Or Less"
25799	"High School"	"Satisfied"
25800	"High School"	"Satisfied"
25801	"High School"	"Satisfied"
25802	"High School"	"Satisfied"
25803	"High School"	"Satisfied"
25804	"High School"	"Not At All Sat"
25805	"Junior College"	"Not At All Sat"
25806	"High School"	"More Or Less"
25807	"High School"	"Not At All Sat"
25808	"High School"	"More Or Less"
25809	"High School"	"Satisfied"
25810	"Lt High School"	"More Or Less"
25811	"Lt High School"	"Not At All Sat"
25812	"Graduate"	"Not At All Sat"
25813	"High School"	"Not At All Sat"
25814	"High School"	"Satisfied"
25815	"High School"	"Not At All Sat"
25816	"Junior College"	"Satisfied"
25817	"High School"	"Not At All Sat"
25818	"High School"	"More Or Less"
25819	"High School"	"Not At All Sat"
25820	"Bachelor"	"Satisfied"
25821	"High School"	"Satisfied"
25822	"High School"	"More Or Less"
25823	"Bachelor"	"Satisfied"
25824	"Graduate"	"More Or Less"
25825	"High School"	"More Or Less"
25826	"High School"	"Not At All Sat"
25827	"Junior College"	"Not At All Sat"
25828	"Junior College"	"More Or Less"
25829	"Bachelor"	"Satisfied"
25830	"High School"	"Not At All Sat"
25831	"High School"	"Not At All Sat"
25832	"Graduate"	"Not At All Sat"
25833	"High School"	"More Or Less"
25834	"High School"	"Not At All Sat"
25835	"High School"	"More Or Less"
25836	"Bachelor"	"More Or Less"
25837	"High School"	"Satisfied"
25838	"High School"	"More Or Less"
25839	"Bachelor"	"Satisfied"
25840	"Graduate"	"More Or Less"
25841	"High School"	"More Or Less"
25842	"High School"	"Not At All Sat"
25843	"Bachelor"	"Not At All Sat"
25844	"High School"	"Not At All Sat"
25845	"Lt High School"	"Not At All Sat"
25846	"High School"	"More Or Less"
25847	"Lt High School"	"More Or Less"
25848	"Lt High School"	"More Or Less"
25849	"Bachelor"	"Satisfied"
25850	"High School"	"More Or Less"
25851	"Lt High School"	"Not At All Sat"
25852	"High School"	"Not At All Sat"
25853	"Lt High School"	"Not At All Sat"
25854	"Lt High School"	"More Or Less"
25855	"High School"	"Not At All Sat"
25856	"Junior College"	"Not At All Sat"
25857	"Bachelor"	"More Or Less"
25858	"Lt High School"	"More Or Less"
25859	"Bachelor"	"Not At All Sat"
25860	"High School"	"More Or Less"
25861	"High School"	"More Or Less"
25862	"Bachelor"	"Satisfied"
25863	"High School"	"Satisfied"
25864	"High School"	"More Or Less"
25865	"High School"	"More Or Less"
25866	"High School"	"More Or Less"
25867	"High School"	"Not At All Sat"
25868	"Bachelor"	"More Or Less"
25869	"Bachelor"	"More Or Less"
25870	"Junior College"	"More Or Less"
25871	"High School"	"More Or Less"
25872	"Bachelor"	"More Or Less"
25873	"High School"	"More Or Less"
25874	"High School"	"Not At All Sat"
25875	"Graduate"	"Satisfied"
25876	"Lt High School"	"Satisfied"
25877	"High School"	"Not At All Sat"
25878	"Lt High School"	"More Or Less"
25879	"Lt High School"	"Not At All Sat"
25880	"High School"	"More Or Less"
25881	"Bachelor"	"More Or Less"
25882	"High School"	"More Or Less"
25883	"Bachelor"	"More Or Less"
25884	"High School"	"More Or Less"
25885	"Graduate"	"More Or Less"
25886	"High School"	"More Or Less"
25887	"High School"	"More Or Less"
25888	"High School"	"More Or Less"
25889	"Lt High School"	"More Or Less"
25890	"High School"	"Not At All Sat"
25891	"Lt High School"	"More Or Less"
25892	"High School"	"Not At All Sat"
25893	"Graduate"	"More Or Less"
25894	"Junior College"	"Not At All Sat"
25895	"High School"	"More Or Less"
25896	"High School"	"Not At All Sat"
25897	"Lt High School"	"Not At All Sat"
25898	"High School"	"Not At All Sat"
25899	"Bachelor"	"More Or Less"
25900	"High School"	"More Or Less"
25901	"Graduate"	"Satisfied"
25902	"High School"	"More Or Less"
25903	"Junior College"	"Not At All Sat"
25904	"Graduate"	"More Or Less"
25905	"Bachelor"	"Not At All Sat"
25906	"High School"	"Not At All Sat"
25907	"High School"	"Not At All Sat"
25908	"Lt High School"	"More Or Less"
25909	"Lt High School"	"More Or Less"
25910	"High School"	"More Or Less"
25911	"High School"	"More Or Less"
25912	"Lt High School"	"Not At All Sat"
25913	"High School"	"More Or Less"
25914	"High School"	"Satisfied"
25915	"High School"	"More Or Less"
25916	"Graduate"	"More Or Less"
25917	"High School"	"More Or Less"
25918	"High School"	"Satisfied"
25919	"Lt High School"	"Not At All Sat"
25920	"Bachelor"	"More Or Less"
25921	"Bachelor"	"More Or Less"
25922	"High School"	"Not At All Sat"
25923	"High School"	"More Or Less"
25924	"High School"	"More Or Less"
25925	"High School"	"Not At All Sat"
25926	"Junior College"	"Not At All Sat"
25927	"High School"	"Not At All Sat"
25928	"Bachelor"	"Satisfied"
25930	"Bachelor"	"More Or Less"
25931	"High School"	"Satisfied"
25932	"High School"	"Not At All Sat"
25933	"High School"	"Not At All Sat"
25934	"High School"	"Not At All Sat"
25935	"Lt High School"	"More Or Less"
25936	"High School"	"More Or Less"
25937	"Bachelor"	"More Or Less"
25938	"Junior College"	"More Or Less"
25940	"High School"	"More Or Less"
25941	"High School"	"Satisfied"
25942	"High School"	"Satisfied"
25943	"High School"	"Not At All Sat"
25944	"Lt High School"	"More Or Less"
25945	"High School"	"More Or Less"
25946	"Lt High School"	"More Or Less"
25947	"High School"	"More Or Less"
25948	"High School"	"More Or Less"
25949	"High School"	"Satisfied"
25950	"High School"	"More Or Less"
25951	"High School"	"Not At All Sat"
25952	"High School"	"More Or Less"
25953	"Bachelor"	"Not At All Sat"
25954	"High School"	"More Or Less"
25955	"Bachelor"	"Satisfied"
25956	"High School"	"More Or Less"
25957	"Graduate"	"Not At All Sat"
25958	"Junior College"	"More Or Less"
25959	"High School"	"Satisfied"
25960	"Graduate"	"Satisfied"
25961	"Junior College"	"More Or Less"
25962	"High School"	"More Or Less"
25963	"High School"	"More Or Less"
25964	"High School"	"Satisfied"
25965	"Bachelor"	"More Or Less"
25966	"High School"	"More Or Less"
25967	"Lt High School"	"Not At All Sat"
25968	"High School"	"Satisfied"
25969	"High School"	"Not At All Sat"
25970	"Graduate"	"Satisfied"
25971	"Junior College"	"More Or Less"
25972	"High School"	"Satisfied"
25973	"High School"	"Not At All Sat"
